1,1,1,1,1,1,2,3,1,1,1,1,1,1
1,1,1,1,1,1,4,5,1,1,1,1,1,1
6,7,8,9,7,8,10,11,8,9,7,8,9,12
2,3,1,2,3,1,2,3,1,2,3,1,2,3
4,5,1,4,5,1,4,5,1,4,5,1,4,5
13,14,8,10,15,1,16,15,1,13,14,8,10,15
1,1,1,2,3,1,2,3,1,1,1,1,2,3
1,1,1,4,5,1,4,5,1,1,1,1,4,5
6,7,8,10,11,8,10,15,1,6,7,8,10,15
2,3,1,2,3,1,2,3,1,2,3,1,2,3
4,5,1,4,5,1,4,5,1,4,5,1,4,5
16,11,8,17,18,1,16,11,8,10,11,8,10,15
2,3,1,1,1,1,2,3,1,2,3,1,2,3
4,5,1,1,1,1,4,5,1,4,5,1,4,5
16,15,1,6,7,8,10,15,1,13,14,8,10,15
2,3,1,2,3,1,2,3,1,1,1,1,2,3
4,5,1,4,5,1,4,5,1,1,1,1,4,5
16,15,1,16,15,1,13,14,8,9,12,1,16,15
2,3,1,2,3,1,2,3,1,2,3,1,2,3
4,5,1,4,5,1,4,5,1,4,5,1,4,5
13,14,8,10,11,8,10,15,1,16,11,8,17,18
1,1,1,2,3,1,2,3,1,2,3,1,1,1
1,1,1,4,5,1,4,5,1,4,5,1,1,1
